树个数为130： accu=0.8559563 recall=0.71854585 tp=7590 tn=37548 fp=4623 fn=2973
树个数为131： accu=0.8565062 recall=0.7179778 tp=7584 tn=37583 fp=4588 fn=2979
树个数为132： accu=0.8600713 recall=0.7051974 tp=7449 tn=37906 fp=4265 fn=3114
树个数为133： accu=0.8632192 recall=0.66108114 tp=6983 tn=38538 fp=3633 fn=3580
树个数为134： accu=0.86966664 recall=0.5861971 tp=6192 tn=39669 fp=2502 fn=4371
树个数为135： accu=0.8709751 recall=0.5837357 tp=6166 tn=39764 fp=2407 fn=4397
树个数为136： accu=0.870482 recall=0.5789075 tp=6115 tn=39789 fp=2382 fn=4448
树个数为137： accu=0.8706717 recall=0.58099025 tp=6137 tn=39777 fp=2394 fn=4426
树个数为138： accu=0.8704062 recall=0.5851557 tp=6181 tn=39719 fp=2452 fn=4382
树个数为139： accu=0.8738006 recall=0.6054151 tp=6395 tn=39684 fp=2487 fn=4168
树个数为140： accu=0.8720939 recall=0.59964025 tp=6334 tn=39655 fp=2516 fn=4229
树个数为141： accu=0.872037 recall=0.6013443 tp=6352 tn=39634 fp=2537 fn=4211
树个数为142： accu=0.8719422 recall=0.5862918 tp=6193 tn=39788 fp=2383 fn=4370
树个数为143： accu=0.87201804 recall=0.5860078 tp=6190 tn=39795 fp=2376 fn=4373
树个数为144： accu=0.8721318 recall=0.5864811 tp=6195 tn=39796 fp=2375 fn=4368
树个数为145： accu=0.86849093 recall=0.6191423 tp=6540 tn=39259 fp=2912 fn=4023
树个数为146： accu=0.8687564 recall=0.6224557 tp=6575 tn=39238 fp=2933 fn=3988
树个数为147： accu=0.86822546 recall=0.6244438 tp=6596 tn=39189 fp=2982 fn=3967
树个数为148： accu=0.8708613 recall=0.6026697 tp=6366 tn=39558 fp=2613 fn=4197
树个数为149： accu=0.8713354 recall=0.5959481 tp=6295 tn=39654 fp=2517 fn=4268
树个数为150： accu=0.86849093 recall=0.6071192 tp=6413 tn=39386 fp=2785 fn=4150
树个数为151： accu=0.8701217 recall=0.6066458 tp=6408 tn=39477 fp=2694 fn=4155
树个数为152： accu=0.8697994 recall=0.6102433 tp=6446 tn=39422 fp=2749 fn=4117
树个数为153： accu=0.8701976 recall=0.61100066 tp=6454 tn=39435 fp=2736 fn=4109
树个数为154： accu=0.86981833 recall=0.61952096 tp=6544 tn=39325 fp=2846 fn=4019
树个数为155： accu=0.8702924 recall=0.61620754 tp=6509 tn=39385 fp=2786 fn=4054
树个数为156： accu=0.86966664 recall=0.61989963 tp=6548 tn=39313 fp=2858 fn=4015
树个数为157： accu=0.8666515 recall=0.5861971 tp=6192 tn=39510 fp=2661 fn=4371
树个数为158： accu=0.86883223 recall=0.5875225 tp=6206 tn=39611 fp=2560 fn=4357
树个数为159： accu=0.8644897 recall=0.5624349 tp=5941 tn=39647 fp=2524 fn=4622
树个数为160： accu=0.8660826 recall=0.5628136 tp=5945 tn=39727 fp=2444 fn=4618
树个数为161： accu=0.86082983 recall=0.5719019 tp=6041 tn=39354 fp=2817 fn=4522
树个数为162： accu=0.8607919 recall=0.5748367 tp=6072 tn=39321 fp=2850 fn=4491
树个数为163： accu=0.8602989 recall=0.58383036 tp=6167 tn=39200 fp=2971 fn=4396
树个数为164： accu=0.86101943 recall=0.57881284 tp=6114 tn=39291 fp=2880 fn=4449
树个数为165： accu=0.8596541 recall=0.5810849 tp=6138 tn=39195 fp=2976 fn=4425
树个数为166： accu=0.8606592 recall=0.5875225 tp=6206 tn=39180 fp=2991 fn=4357
树个数为167： accu=0.86067814 recall=0.5865758 tp=6196 tn=39191 fp=2980 fn=4367
树个数为168： accu=0.8603937 recall=0.5834517 tp=6163 tn=39209 fp=2962 fn=4400
树个数为169： accu=0.8611712 recall=0.5871438 tp=6202 tn=39211 fp=2960 fn=4361
树个数为170： accu=0.85730267 recall=0.6070245 tp=6412 tn=38797 fp=3374 fn=4151
树个数为171： accu=0.8574544 recall=0.60579383 tp=6399 tn=38818 fp=3353 fn=4164
树个数为172： accu=0.85662 recall=0.6115687 tp=6460 tn=38713 fp=3458 fn=4103
树个数为173： accu=0.85808015 recall=0.6026697 tp=6366 tn=38884 fp=3287 fn=4197
树个数为174： accu=0.8583077 recall=0.6096753 tp=6440 tn=38822 fp=3349 fn=4123
树个数为175： accu=0.8599954 recall=0.6032377 tp=6372 tn=38979 fp=3192 fn=4191
树个数为176： accu=0.8603747 recall=0.6042791 tp=6383 tn=38988 fp=3183 fn=4180
树个数为177： accu=0.8617969 recall=0.5943387 tp=6278 tn=39168 fp=3003 fn=4285
树个数为178： accu=0.8624986 recall=0.592256 tp=6256 tn=39227 fp=2944 fn=4307
树个数为179： accu=0.8632192 recall=0.5935814 tp=6270 tn=39251 fp=2920 fn=4293
树个数为180： accu=0.8641863 recall=0.60124964 tp=6351 tn=39221 fp=2950 fn=4212
树个数为181： accu=0.8634467 recall=0.60816056 tp=6424 tn=39109 fp=3062 fn=4139
树个数为182： accu=0.8632192 recall=0.610338 tp=6447 tn=39074 fp=3097 fn=4116
树个数为183： accu=0.8657223 recall=0.5803276 tp=6130 tn=39523 fp=2648 fn=4433
树个数为184： accu=0.8660257 recall=0.57455266 tp=6069 tn=39600 fp=2571 fn=4494
树个数为185： accu=0.86170214 recall=0.5997349 tp=6335 tn=39106 fp=3065 fn=4228
树个数为186： accu=0.8624607 recall=0.58856386 tp=6217 tn=39264 fp=2907 fn=4346
树个数为187： accu=0.8649827 recall=0.57549936 tp=6079 tn=39535 fp=2636 fn=4484
树个数为188： accu=0.8642811 recall=0.56328696 tp=5950 tn=39627 fp=2544 fn=4613
树个数为189： accu=0.8636364 recall=0.56234026 tp=5940 tn=39603 fp=2568 fn=4623
树个数为190： accu=0.8591611 recall=0.5205907 tp=5499 tn=39808 fp=2363 fn=5064
树个数为191： accu=0.86024195 recall=0.52683896 tp=5565 tn=39799 fp=2372 fn=4998
树个数为192： accu=0.8599765 recall=0.5289217 tp=5587 tn=39763 fp=2408 fn=4976
树个数为193： accu=0.859711 recall=0.5158572 tp=5449 tn=39887 fp=2284 fn=5114
树个数为194： accu=0.86153144 recall=0.5156679 tp=5447 tn=39985 fp=2186 fn=5116
树个数为195： accu=0.8620245 recall=0.5115024 tp=5403 tn=40055 fp=2116 fn=5160
树个数为196： accu=0.8636364 recall=0.5032661 tp=5316 tn=40227 fp=1944 fn=5247
树个数为197： accu=0.8614935 recall=0.5281643 tp=5579 tn=39851 fp=2320 fn=4984
树个数为198： accu=0.8613039 recall=0.527691 tp=5574 tn=39846 fp=2325 fn=4989
树个数为199： accu=0.8616642 recall=0.527123 tp=5568 tn=39871 fp=2300 fn=4995
树个数为200： accu=0.86257446 recall=0.527691 tp=5574 tn=39913 fp=2258 fn=4989
树个数为201： accu=0.8594455 recall=0.52560824 tp=5552 tn=39770 fp=2401 fn=5011
树个数为202： accu=0.85836464 recall=0.5310044 tp=5609 tn=39656 fp=2515 fn=4954
树个数为203： accu=0.8622331 recall=0.52636564 tp=5560 tn=39909 fp=2262 fn=5003
树个数为204： accu=0.8619866 recall=0.5071476 tp=5357 tn=40099 fp=2072 fn=5206
树个数为205： accu=0.86177796 recall=0.5037395 tp=5321 tn=40124 fp=2047 fn=5242
树个数为206： accu=0.86158836 recall=0.51424783 tp=5432 tn=40003 fp=2168 fn=5131
树个数为207： accu=0.8628209 recall=0.5105557 tp=5393 tn=40107 fp=2064 fn=5170
树个数为208： accu=0.8629727 recall=0.5117864 tp=5406 tn=40102 fp=2069 fn=5157
树个数为209： accu=0.8596541 recall=0.5056329 tp=5341 tn=39992 fp=2179 fn=5222
树个数为210： accu=0.85978687 recall=0.508473 tp=5371 tn=39969 fp=2202 fn=5192
树个数为211： accu=0.85855424 recall=0.4894443 tp=5170 tn=40105 fp=2066 fn=5393
树个数为212： accu=0.8571699 recall=0.49550316 tp=5234 tn=39968 fp=2203 fn=5329
树个数为213： accu=0.8596731 recall=0.49588186 tp=5238 tn=40096 fp=2075 fn=5325
树个数为214： accu=0.8592369 recall=0.49654454 tp=5245 tn=40066 fp=2105 fn=5318
树个数为215： accu=0.85690445 recall=0.4940831 tp=5219 tn=39969 fp=2202 fn=5344
树个数为216： accu=0.8617969 recall=0.5016567 tp=5299 tn=40147 fp=2024 fn=5264
树个数为217： accu=0.86210036 recall=0.49843794 tp=5265 tn=40197 fp=1974 fn=5298
树个数为218： accu=0.8621952 recall=0.49843794 tp=5265 tn=40202 fp=1969 fn=5298
树个数为219： accu=0.8636174 recall=0.49644986 tp=5244 tn=40298 fp=1873 fn=5319
树个数为220： accu=0.8624227 recall=0.5106504 tp=5394 tn=40085 fp=2086 fn=5169
树个数为221： accu=0.8596352 recall=0.48953897 tp=5171 tn=40161 fp=2010 fn=5392
树个数为222： accu=0.85984373 recall=0.4940831 tp=5219 tn=40124 fp=2047 fn=5344
树个数为223： accu=0.8601092 recall=0.4954085 tp=5233 tn=40124 fp=2047 fn=5330
树个数为224： accu=0.8601092 recall=0.49720722 tp=5252 tn=40105 fp=2066 fn=5311
树个数为225： accu=0.8603368 recall=0.49654454 tp=5245 tn=40124 fp=2047 fn=5318
树个数为226： accu=0.8603747 recall=0.49938464 tp=5275 tn=40096 fp=2075 fn=5288
树个数为227： accu=0.8603747 recall=0.49739656 tp=5254 tn=40117 fp=2054 fn=5309
树个数为228： accu=0.861759 recall=0.4991953 tp=5273 tn=40171 fp=2000 fn=5290
树个数为229： accu=0.8596731 recall=0.52191615 tp=5513 tn=39821 fp=2350 fn=5050
树个数为230： accu=0.85662 recall=0.5482344 tp=5791 tn=39382 fp=2789 fn=4772
树个数为231： accu=0.8551219 recall=0.5541986 tp=5854 tn=39240 fp=2931 fn=4709
树个数为232： accu=0.85459095 recall=0.55524 tp=5865 tn=39201 fp=2970 fn=4698
树个数为233： accu=0.85451514 recall=0.53535926 tp=5655 tn=39407 fp=2764 fn=4908
树个数为234： accu=0.8504949 recall=0.5406608 tp=5711 tn=39139 fp=3032 fn=4852
树个数为235： accu=0.84981227 recall=0.5524946 tp=5836 tn=38978 fp=3193 fn=4727
树个数为236： accu=0.84765047 recall=0.5517372 tp=5828 tn=38872 fp=3299 fn=4735
树个数为237： accu=0.8385292 recall=0.5444476 tp=5751 tn=38468 fp=3703 fn=4812
树个数为238： accu=0.83822584 recall=0.53412855 tp=5642 tn=38561 fp=3610 fn=4921
树个数为239： accu=0.8419805 recall=0.51831865 tp=5475 tn=38926 fp=3245 fn=5088
树个数为240： accu=0.84241664 recall=0.51812935 tp=5473 tn=38951 fp=3220 fn=5090
树个数为241： accu=0.84285283 recall=0.5194547 tp=5487 tn=38960 fp=3211 fn=5076
